,original_name,country_code,mapped_name,mapped_bvdId,mapping_score,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,Status,Date of incorporation,Operating revenue (Turnover) <th USD 2018>,Operating revenue (Turnover) <th USD 2017>,Operating revenue (Turnover) <th USD 2016>,Operating revenue (Turnover) <th USD 2015>,Operating revenue (Turnover) <th USD 2014>,Operating revenue (Turnover) <th USD 2013>,Operating revenue (Turnover) <th USD 2012>,Operating revenue (Turnover) <th USD 2011>,Operating revenue (Turnover) <th USD 2010>,Operating revenue (Turnover) <th USD 2009>,P/L for period [=Net income] <th USD 2018>,P/L for period [=Net income] <th USD 2017>,P/L for period [=Net income] <th USD 2016>,P/L for period [=Net income] <th USD 2015>,P/L for period [=Net income] <th USD 2014>,P/L for period [=Net income] <th USD 2013>,P/L for period [=Net income] <th USD 2012>,P/L for period [=Net income] <th USD 2011>,P/L for period [=Net income] <th USD 2010>,P/L for period [=Net income] <th USD 2009>,Total assets <th USD 2018>,Total assets <th USD 2017>,Total assets <th USD 2016>,Total assets <th USD 2015>,Total assets <th USD 2014>,Total assets <th USD 2013>,Total assets <th USD 2012>,Total assets <th USD 2011>,Total assets <th USD 2010>,Total assets <th USD 2009>,Shareholders funds <th USD 2018>,Shareholders funds <th USD 2017>,Shareholders funds <th USD 2016>,Shareholders funds <th USD 2015>,Shareholders funds <th USD 2014>,Shareholders funds <th USD 2013>,Shareholders funds <th USD 2012>,Shareholders funds <th USD 2011>,Shareholders funds <th USD 2010>,Shareholders funds <th USD 2009>,Number of employees <2018>,Number of employees <2017>,Number of employees <2016>,Number of employees <2015>,Number of employees <2014>,Number of employees <2013>,Number of employees <2012>,Number of employees <2011>,Number of employees <2010>,Number of employees <2009>,EBITDA <th USD 2018>,EBITDA <th USD 2017>,EBITDA <th USD 2016>,EBITDA <th USD 2015>,EBITDA <th USD 2014>,EBITDA <th USD 2013>,EBITDA <th USD 2012>,EBITDA <th USD 2011>,EBITDA <th USD 2010>,EBITDA <th USD 2009>
528,DCM Asia,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Beijing Sailian Technology (Xiaoyu Link),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,GPA Global,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Hejin Online,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,PlanetCast Media Services,IN,PLANETCAST MEDIA SERVICES LIMITED,IN0000254839,scoreA,PLANETCAST MEDIA SERVICES LIMITED,IN0000254839,IN,6190,5179,Post & telecommunications,Active,30/04/1996,n.a.,n.a.,"53,397","44,876",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,088","5,457",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"70,237","63,728",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"49,955","43,202",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"16,592","13,225",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
533,Shenzhen Qianhai Dadao Financial Services,CN,"SHENZHEN QIANHAI DADAO FINANCIAL SERVICES CO., LTD",CN*Z00219298,scoreA,"SHENZHEN QIANHAI DADAO FINANCIAL SERVICES CO., LTD",CN*Z00219298,CN,6311,5182,Other services,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
534,Sanasa Development Bank (SDB),LK,SANASA DEVELOPMENT BANK PLC,LK0000073405,scoreA,SANASA DEVELOPMENT BANK PLC,LK0000073405,LK,6411,5211,Banks,Active,06/08/1997,n.a.,n.a.,n.a.,"1,871","2,541","1,287",863,762,n.a.,n.a.,n.a.,n.a.,n.a.,"4,988","3,700","1,883","2,445","3,338",n.a.,n.a.,n.a.,n.a.,n.a.,"418,499","309,599","227,395","195,812","187,528",n.a.,n.a.,n.a.,n.a.,n.a.,"36,771","35,834","25,852","25,709","28,177",n.a.,n.a.,n.a.,n.a.,n.a.,"1,198","1,004",856,823,884,n.a.,n.a.,n.a.,n.a.,n.a.,"-12,992","-11,030","-10,961","-9,462","-9,196",n.a.,n.a.
535,Le Travenues Technology (ixigo),IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Weex,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,MarketsandMarkets,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Pargo,ZA,PARGO,ZA*Z00266757,scoreA,PARGO,ZA*Z00266757,ZA, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
539,Wujie Space,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Kilimo,AR,KILIMO SA,AR30-71510794-1,scoreA,KILIMO SA,AR30-71510794-1,AR, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
541,Airpay Payment Services,IN,AIRPAY PAYMENT SERVICES PRIVATE LIMITED,IN0014651748,scoreA,AIRPAY PAYMENT SERVICES PRIVATE LIMITED,IN0014651748,IN,6209,5415,Other services,Active,09/04/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
542,Shanghai Kanbang Information Technology (NewRank),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,IDwall,BR,IDWALL TECNOLOGIA LTDA - ME (Alias: IDWALL),BR24934106000120,scoreA,IDWALL TECNOLOGIA LTDA - ME,BR24934106000120,BR,6312,5191,Other services,Active,03/06/2016,n.a.,n.a.,64,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
544,DT+Seekr (Direct Talk),BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Woxing Group,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Regency Healthcare,IN,REGENCY HEALTHCARE PRIVATE LIMITED,IN0006557748,scoreA,REGENCY HEALTHCARE PRIVATE LIMITED,IN0006557748,IN,2120,3254,"Chemicals, rubber, plastics, non-metallic products",Active,15/05/2000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
547,Santa Monica Networks Latvia and Lithuania,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Chezhibao (Mychebao.com),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,YCloset,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Geek+,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,OCL India,IN,OCL INDIA LIMITED,IN30090FI,scoreA,OCL INDIA LIMITED,IN30090FI,IN,2351,3273,"Chemicals, rubber, plastics, non-metallic products",Active,1949,n.a.,n.a.,"459,743","411,616","364,794","321,015","341,692","289,096","334,181","308,285",n.a.,n.a.,"58,726","35,273","18,472","17,829","29,297","6,218","25,638","36,268",n.a.,n.a.,"738,248","531,719","539,448","429,890","447,230","397,466","482,573","454,015",n.a.,n.a.,"365,781","218,365","198,313","191,825","197,086","176,523","198,078","176,436",n.a.,n.a.,"2,694","1,501",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"105,195","79,843","56,572","53,206","79,873","48,089","76,068","157,946"
552,Charming Huang Info & Tech (Hypereal),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Xiaoyusan,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,United Photovoltaics Group,CN,UNITED PHOTOVOLTAICS GROUP LIMITED,HK0000146971,scoreA,UNITED PHOTOVOLTAICS GROUP LIMITED,HK0000146971,HK,6420,5511,Other services,Active (dormant),14/11/2007,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,50,50,50,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
555,Debt Rescue,ZA,DEBT RESCUE (PTY) LTD,ZA201642064607,scoreA,DEBT RESCUE (PTY) LTD,ZA201642064607,ZA,8291,5614,Other services,Active,03/10/2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
556,Hangzhou Quantum Finance,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Suzhou Ribo Life Science,CN,"SUZHOU RIBO LIFE SCIENCE CO.,LTD",CN9363445471,scoreA,"SUZHOU RIBO LIFE SCIENCE CO.,LTD",CN9363445471,CN,7219,5417,Other services,Active,18/01/2007,n.a.,n.a.,899,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"-3,443",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,555",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"12,011",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
558,Beijing Zmeng Network Technology,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Intellifusion Technologies,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Huilian Jinke Information Technology (Beijing),CN,"HUILIAN JINKE INFORMATION TECHNOLOGY (BEIJING) CO., LTD",CN*Z00205153,scoreA,"HUILIAN JINKE INFORMATION TECHNOLOGY (BEIJING) CO., LTD",CN*Z00205153,CN, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
561,MTG Baltic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Homage,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Nanjing Lanjingren Network Technology (Mei Pian),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,TREV-2 Group,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,FarMart,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Makeblock,CN,"MAKEBLOCK CO., LTD.",CN9380687912,scoreA,"MAKEBLOCK CO., LTD.",CN9380687912,CN,4652,4236,Wholesale & retail trade,Active,24/06/2013,n.a.,n.a.,n.a.,n.a.,287,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,312,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
567,Pawoon,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Luxeva (POPxo),IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,VU Security,AR,VU SECURITY SA,AR30-71041663-6,scoreA,VU SECURITY SA,AR30-71041663-6,AR,6209,5415,Other services,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
570,Ergos Business Solutions,IN,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,IN0002588349,scoreA,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,IN0002588349,IN,8299,5614,Other services,Active,02/04/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
571,Innovalues,SG,INNOVALUES LIMITED,SG199702822E,scoreA,INNOVALUES LIMITED,SG199702822E,SG,2611,3344,"Machinery, equipment, furniture, recycling",Active,25/04/1997,n.a.,n.a.,"84,289","80,617","82,504","80,462","86,508","68,515","79,050","69,030",n.a.,n.a.,"16,515","16,268","11,966","6,857","12,542","-10,934","1,023","-3,040",n.a.,n.a.,"86,132","73,190","72,151","66,292","71,346","60,181","78,948","84,708",n.a.,n.a.,"68,135","58,300","53,480","44,975","42,462","31,180","43,691","39,469",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"22,184","15,957","18,174","13,315","19,517","14,322","10,525","6,675"
572,Sanoma Baltics,EE,AS SANOMA BALTICS,EE*110179544721,scoreA,AS SANOMA BALTICS,EE*110179544721,EE, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
573,POS Media Group,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Ematic Solutions,SG,EMATIC SOLUTIONS PTE. LTD.,SG201111609G,scoreA,EMATIC SOLUTIONS PTE. LTD.,SG201111609G,SG,6209,5415,Other services,Active,16/05/2011,n.a.,n.a.,n.a.,663,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,330,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-292,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
575,TopSchool,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Ideal Cures,IN,IDEAL CURES PRIVATE LIMITED,IN0003692662,scoreA,IDEAL CURES PRIVATE LIMITED,IN0003692662,IN,2120,3254,"Chemicals, rubber, plastics, non-metallic products",Active,18/07/1988,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
577,Groupon Brasil,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Indiavidual Learning (Embibe.com),IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,MPaani Solutions,IN,MPAANI SOLUTIONS PRIVATE LIMITED,IN0014569235,scoreA,MPAANI SOLUTIONS PRIVATE LIMITED,IN0014569235,IN,8299,5614,Other services,Active,14/01/2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
580,Andhra Pradesh Expressway,IN,ANDHRA PRADESH EXPRESSWAY LIMITED,IN0000215843,scoreA,ANDHRA PRADESH EXPRESSWAY LIMITED,IN0000215843,IN,5221,4882,Transport,Active,11/11/2005,n.a.,n.a.,"9,254","17,088","18,062","18,783",n.a.,"22,060","25,346","12,647",n.a.,n.a.,"-9,357","1,533","1,455","1,191",n.a.,"-6,906","-7,507","-3,789",n.a.,n.a.,"91,111","116,264","127,362","134,911",n.a.,"145,405","182,237","199,661",n.a.,n.a.,-2,"25,603","25,508","25,054",n.a.,"-10,214","-3,789","3,678",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,725","15,732","16,579","17,392",n.a.,n.a.,n.a.,n.a.
581,Borqs Beijing (Borqs),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Lavelle Networks,IN,LAVELLE NETWORKS PRIVATE LIMITED,IN0014719149,scoreA,LAVELLE NETWORKS PRIVATE LIMITED,IN0014719149,IN,6201,5415,Other services,Active,30/01/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
583,UFBOT,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Shanghai Zhier Network Technology,CN,"SHANGHAI ZHI NETWORK TECHNOLOGY CO.,LTD",CN9364551606,scoreA,"SHANGHAI ZHI NETWORK TECHNOLOGY CO.,LTD",CN9364551606,CN,6399,5191,Other services,Active,07/06/2007,n.a.,n.a.,n.a.,n.a.,27,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,49,54,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
585,Property Share,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Beijing Block 12 Culture Communication,CN,"BEIJING BLOCK 12 CULTURE COMMUNICATION CO., LTD",CN*Z00258841,scoreA,"BEIJING BLOCK 12 CULTURE COMMUNICATION CO., LTD",CN*Z00258841,CN, , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
